one_week_perf,one_month_perf,three_month_perf,six_month_perf,one_year_perf,bull_bear_signal,technical_rating,ad_trend,avg_volume_6_days,avg_volume_9_days,avg_volume_12_days,avg_volume_15_days,avg_volume_30_days,q1,q2,q3,q4,capital_fund_to_rwa,npl_to_total_loan,return_on_equity,total_loan_loss_provision_to_npl,symbol,market_cap,stock_bonus,eps_ttm,roa_ttm,roe_ttm,pr_ratio
-3.52,2.75,-9.77,-13.11,36.09,-,BY,Distribution,34358.0,28290.0,26506.0,24989.0,21438.0,,,,,,,,,BPCL (Butwal Power),14014574331.0,"[{'id': 976, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 5, 'total': 5, 'fiscal_year': '2079/2080'}, {'id': 977, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 7.5, 'total': 12.5, 'fiscal_year': '2078/2079'}, {'id': 978, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 10, 'total': 20, 'fiscal_year': '2077/2078'}, {'id': 979, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 15, 'total': 25, 'fiscal_year': '2076/2077'}, {'id': 980, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 18, 'total': 28, 'fiscal_year': '2075/2076'}, {'id': 981, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 18, 'total': 28, 'fiscal_year': '2074/2075'}, {'id': 982, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 20, 'total': 20, 'fiscal_year': '2073/2074'}, {'id': 983, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 7, 'cash': 20, 'total': 27, 'fiscal_year': '2072/2073'}, {'id': 984, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 20, 'total': 20, 'fiscal_year': '2071/2072'}, {'id': 985, 'symbol': 'BPCL', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 15, 'total': 15, 'fiscal_year': '2070/2071'}]",11.37,0.03,0.03,36.14
0.54,2.72,-11.65,-9.2,13.84,-,-,Accumulation,49990.0,55153.0,54354.0,63051.0,60481.0,-10.49%,-4.92%,-12.20%,-3.35%,,,,,CHCL (Chilime Hydropower),41899218905.88,"[{'id': 1024, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 5, 'total': 15, 'fiscal_year': '2079/2080'}, {'id': 1025, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 7.5, 'cash': 7.5, 'total': 15, 'fiscal_year': '2078/2079'}, {'id': 1026, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 7.5, 'cash': 7.5, 'total': 15, 'fiscal_year': '2077/2078'}, {'id': 1027, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 10, 'total': 20, 'fiscal_year': '2076/2077'}, {'id': 1028, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 20, 'cash': 5, 'total': 25, 'fiscal_year': '2075/2076'}, {'id': 1029, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 20, 'cash': 5, 'total': 25, 'fiscal_year': '2074/2075'}, {'id': 1030, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 10, 'total': 25, 'fiscal_year': '2073/2074'}, {'id': 1031, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 10, 'total': 20, 'fiscal_year': '2072/2073'}, {'id': 1032, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 12, 'total': 27, 'fiscal_year': '2071/2072'}, {'id': 1033, 'symbol': 'CHCL', 'sector': 'HYDROPOWER', 'bonus': 20, 'cash': 15, 'total': 35, 'fiscal_year': '2070/2071'}]",8.72,0.06,0.06,60.19
5.35,18.75,37.85,53.06,86.78,-,BY,Distribution,142675.0,139351.0,134811.0,146904.0,110388.0,25.05%,5.35%,13.55%,34.33%,,,,,CHL (Chhyangdi Hydropower Ltd.),2132246025.0,"[{'id': 1035, 'symbol': 'CHL', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.2631, 'total': 5.2631, 'fiscal_year': '2076/2077'}, {'id': 1036, 'symbol': 'CHL', 'sector': 'HYDROPOWER', 'bonus': 5, 'cash': 0.26, 'total': 5.26, 'fiscal_year': '2075/2076'}]",-9.53,-0.06,-0.25,-57.84
-1.32,-1.55,15.87,31.58,29.92,-,BY,Accumulation,16909.0,16924.0,17034.0,18176.0,24840.0,,,,,,,,,CKHL (Chirkhwa Hydropower Limited),3300000000.0,,5.86,0.01,0.02,140.85
0.25,19.16,34.93,47.39,84.42,-,BY,Distribution,129635.0,103466.0,85135.0,77734.0,64120.0,16.47%,3.12%,1.85%,32.00%,,,,,DHPL (Dibyashwori Hydropower Ltd.),968880000.0,,4.42,-0.03,1.25,83.09
-5.32,-18.59,21.8,7.97,87.02,-,SL,Distribution,21113.0,21540.0,23940.0,25698.0,61941.0,53.49%,-0.33%,77.04%,101.76%,,,,,DOLTI (Dolti Power Company Limited),3910982940.0,,-0.05,-0.04,-0.12,-15091.81
-3.85,-5.37,19.47,26.91,28.82,-,BY,Accumulation,63829.0,56501.0,53269.0,57004.0,58850.0,21.32%,-8.97%,51.15%,74.45%,,,,,DORDI (Dordi Khola Jal Bidyut Company Limited),6315019796.0,,-1.53,-0.01,-0.03,-391.24
-2.84,8.29,13.14,64.44,102.28,-,BY,Accumulation,28996.0,26504.0,24174.0,22654.0,20968.0,12.13%,0.77%,31.58%,34.95%,,,,,EHPL (Eastern Hydropower Limited),5505600000.0,,6.22,-0.01,-0.02,142.68
15.16,27.61,16.22,12.99,72.81,-,BY,Accumulation,647330.0,550732.0,440496.0,380148.0,248865.0,-8.34%,-4.70%,-1.22%,6.07%,,,,,GHL (Ghalemdi Hydro Limited),4362435000.0,,-0.21,-0.01,-0.02,-1284.87
-0.35,1.57,0.12,-5.82,23.33,-,-,Distribution,62045.0,67578.0,69512.0,72798.0,76715.0,-13.36%,-6.71%,-19.76%,-11.55%,,,,,GLH (GreenLife Hydropower Limited),4662000000.0,,-1.41,-0.0,-0.03,-183.78
