share_float,latesttransactionprice,volume,beta_yearly,support_zone_lower,support_zone_upper,resistance_zone_lower,resistance_zone_upper,macd_signal,rsi_signal,bb_signal,fib_signal,fib_range,supertrend_signal,ema_signal,sar_signal,market_trend,trade_signal,market_sentiment,ma_signal,trend_confirmation,obv_price_divergence,obv_breakout,daily_volatility_rs,weekly_volatility_rs,monthly_volatility_rs,return_on_equity,market_cap,avg_volume_3_days,week_52_high,week_52_low,divident_yeild,eps_ttm,roa_ttm,roe_ttm,pr_ratio,symbol,sector,total_listed_shares,promoter_shares,public_shares,power_value,promotor_holding_pot,public_holding_pot,paid_up_capital
18000000.0,259.0,49626,2.57,242.5,252.5,260.0,270.0,-,-,-,-,< 38.2%,BY,BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,11.79,26.64,47.52,,4662000000.0,58863.0,336.0,196.0,,-1.41,-0.0,-0.03,-183.78,GLH,HYDROPOWER,18000000,0.0,18000000.0,100.0,0.0,100.0,1800000000.0
3031250.0,541.0,7623,,516.0,526.0,552.8,562.8,-,-,-,-,< 38.2%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,13.16,25.35,54.39,,16906250000.0,17930.0,699.9,402.4,,23.95,0.02,0.06,22.59,GVL,HYDROPOWER,31250000,28218750.0,3031250.0,100.0,90.3,9.7,303125000.0
28000000.0,199.5,67642,1.59,189.1,199.1,198.0,208.0,-,-,-,SL,< 50%,S SL,SL,-,BEAR,S SL,BULL,-,CONF,None,NO,7.85,16.8,30.73,,5586000000.0,135164.0,273.0,123.3,,-2.6,0.02,,-76.73,HDHPC,HYDROPOWER,28000000,0.0,28000000.0,100.0,0.0,100.0,2800000000.0
1928885.0,585.1,33152,,565.0,575.0,597.0,607.0,-,-,-,-,> 61.8%,S SL,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,11.91,21.98,48.18,,6406845000.0,37872.0,635.0,318.0,,10.05,0.02,0.05,58.25,HHL,HYDROPOWER,10950000,9021115.0,1928885.0,100.0,82.38,17.62,192888500.0
823200.0,819.0,2450,,800.1,810.1,831.0,841.0,-,-,-,-,> 61.8%,S SL,BY,-,BEAR,S SL,BULL,S BY,CONF,None,NO,16.37,35.34,80.77,,2784600819.0,8434.0,904.0,410.1,,-6.16,-0.03,-0.13,-133.0,AHL,HYDROPOWER,3400001,2576800.0,823200.0,100.0,75.79,24.21,82320000.0
18249752.0,204.2,92279,1.53,193.5,203.5,202.0,212.0,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,S BULL,BY,CONF,None,NO,7.41,15.16,30.43,,3726599358.4,156630.0,274.9,150.9,,1.87,-0.01,-0.01,109.41,AKJCL,HYDROPOWER,18249752,0.0,18249752.0,100.0,0.0,100.0,1824975200.0
10654170.0,585.2,150312,0.78,581.0,591.0,614.9,624.9,-,-,-,-,> 61.8%,BY,S BY,-,BEAR,S SL,S BEAR,S BY,CONF,None,NO,11.65,26.12,50.1,,6234820284.0,171381.0,656.0,244.0,,18.26,-0.0,-0.02,32.05,HPPL,HYDROPOWER,10654170,0.0,10654170.0,100.0,0.0,100.0,1065417000.0
19800000.0,251.0,117754,2.68,238.0,248.0,251.0,261.0,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,11.02,22.72,48.81,,4969800000.0,198046.0,333.9,183.6,,6.94,0.0,0.01,36.17,HURJA,HYDROPOWER,19800000,0.0,19800000.0,100.0,0.0,100.0,1980000000.0
1463297.0,757.0,11852,,745.1,755.1,805.0,815.0,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,14.19,24.44,63.76,,4542000000.0,30002.0,838.0,323.1,,-1.0,-0.0,-0.01,-757.93,IHL,HYDROPOWER,6000000,4536703.0,1463297.0,100.0,75.61,24.39,146329700.0
3714000.0,411.0,33616,2.36,403.0,413.0,420.0,430.0,-,-,-,-,< 61.8%,S SL,SL,-,BEAR,S SL,BULL,BY,CONF,None,NO,9.84,18.34,36.26,,1526454000.0,55803.0,521.6,265.0,,-4.05,-0.09,,-101.38,JOSHI,HYDROPOWER,3714000,0.0,3714000.0,100.0,0.0,100.0,371400000.0
119431.0,2620.0,281,,2497.8,2507.8,2735.0,2745.0,-,-,-,-,< 61.8%,S SL,BY,-,BEAR,SL,S BULL,S BY,CONF,None,NO,79.0,153.54,255.94,,3192928500.0,1821.0,3300.0,915.0,,14.52,0.06,0.08,180.46,KBSH,HYDROPOWER,1218675,1099244.0,119431.0,100.0,90.2,9.8,11943100.0
4657143.0,374.0,18508,1.14,363.0,373.0,379.0,389.0,-,-,-,SL,< 61.8%,S SL,SL,-,BEAR,S SL,BULL,BY,CONF,None,NO,7.8,16.58,29.46,,1741771482.0,31109.0,475.0,209.0,,-7.3,-0.05,-0.15,-51.25,KKHC,HYDROPOWER,4657143,0.0,4657143.0,100.0,0.0,100.0,465714300.0
8728500.0,585.0,27453,0.78,570.0,580.0,601.9,611.9,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,12.77,25.04,48.68,,5106172500.0,69985.0,652.4,380.2,1.8,16.23,0.08,0.1,36.05,KPCL,HYDROPOWER,8728500,0.0,8728500.0,100.0,0.0,100.0,872850000.0
22500000.0,204.0,121855,1.38,194.0,204.0,204.1,214.1,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,10.26,22.45,38.02,,4590000000.0,156710.0,344.0,175.1,,-8.98,-0.03,-0.15,-22.73,LEC,HYDROPOWER,22500000,0.0,22500000.0,100.0,0.0,100.0,2250000000.0
1569372.0,806.0,24048,,784.0,794.0,840.0,850.0,SL,-,-,-,> 61.8%,S SL,S BY,-,BEAR,S SL,S BEAR,S BY,CONF,None,NO,14.57,26.88,73.87,,6125600000.0,26786.0,860.0,342.0,,19.98,0.02,0.07,40.35,MAKAR,HYDROPOWER,7600000,6030628.0,1569372.0,100.0,79.35,20.65,156937200.0
1413817.0,950.2,3973,,938.8,948.8,970.0,980.0,-,-,-,-,< 23.6%,BY,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,30.08,57.51,121.62,,12957278774.0,11398.0,1493.1,648.6,1.05,23.77,0.07,0.13,39.97,MANDU,HYDROPOWER,13636370,12222553.0,1413817.0,100.0,89.63,10.37,141381700.0
60000000.0,344.5,36920,1.17,335.1,345.1,346.0,356.0,-,-,-,-,< 38.2%,BY,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,9.27,22.15,63.67,,20670000000.0,61347.0,433.0,279.3,,-0.64,-0.0,-0.01,-539.65,MBJC,HYDROPOWER,60000000,0.0,60000000.0,100.0,0.0,100.0,6000000000.0
1099531.0,641.0,8236,,631.0,641.0,665.0,675.0,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BULL,BY,CONF,None,NO,12.03,23.62,53.88,,3477958953.0,14270.0,714.0,312.8,,-38.76,-0.14,-0.54,-16.54,MCHL,HYDROPOWER,5425833,4326302.0,1099531.0,100.0,79.74,20.26,109953100.0
2576620.0,638.0,24906,,597.0,607.0,650.0,660.0,-,-,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,BULL,S BY,CONF,None,NO,11.48,22.98,48.25,,5104000000.0,74306.0,696.0,275.0,,0.07,-0.03,-0.06,8778.02,MEHL,HYDROPOWER,8000000,5423380.0,2576620.0,100.0,67.79,32.21,257662000.0
6316700.0,348.9,24125,,333.1,343.1,360.0,370.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,S BULL,BY,CONF,None,NO,7.23,13.75,30.87,,10118100000.0,74408.0,393.0,203.0,,-2.32,-0.03,-0.08,-150.61,MEL,HYDROPOWER,29000000,22683300.0,6316700.0,100.0,78.22,21.78,631670000.0
22632310.5,598.3,26451,0.97,587.1,597.1,605.9,615.9,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,25.28,53.5,116.22,,13540911671.3,81088.0,809.5,498.1,2.64,39.35,0.06,0.1,15.21,MEN,HYDROPOWER,22632311,0.5,22632310.5,100.0,0.0,100.0,2263231050.0
2673930.0,632.0,81701,,595.9,605.9,633.0,643.0,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,S BEAR,S BY,CONF,None,NO,13.6,26.16,59.66,,5071800000.0,62305.0,640.5,355.0,,10.02,0.01,0.02,63.09,MHCL,HYDROPOWER,8025000,5351070.0,2673930.0,100.0,66.68,33.32,267393000.0
1267664.17,845.0,40951,,813.3,823.3,925.6,935.6,-,-,-,-,< 61.8%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,20.37,38.59,85.62,,5465181995.0,16101.0,1101.0,361.5,0.59,11.6,0.04,0.05,72.86,MHL,HYDROPOWER,6467671,5200006.83,1267664.17,100.0,80.4,19.6,126766417.0
12500000.0,265.3,12370,2.33,255.0,265.0,270.0,280.0,-,-,-,-,< 23.6%,BY,BY,-,BEAR,S SL,BULL,-,CONF,None,NO,10.8,24.93,47.24,,3316250000.0,27314.0,379.0,215.7,,-61.06,-0.13,-0.75,-4.34,MHNL,HYDROPOWER,12500000,0.0,12500000.0,100.0,0.0,100.0,1250000000.0
2352000.0,581.7,46330,,570.0,580.0,607.0,617.0,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,11.13,20.57,44.96,,5817000000.0,97733.0,627.0,271.9,,1.44,-0.05,-0.22,405.03,MKHC,HYDROPOWER,10000000,7648000.0,2352000.0,100.0,76.48,23.52,235200000.0
1498823.2,720.0,14906,,691.2,701.2,760.0,770.0,-,-,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,14.14,25.79,70.28,,2823528960.0,35821.0,765.0,342.0,,2.86,-0.0,,251.68,MKHL,HYDROPOWER,3921568,2422744.8,1498823.2,100.0,61.78,38.22,149882320.0
3763198.24,580.0,31539,0.72,562.0,572.0,589.0,599.0,-,-,-,-,< 50%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,16.77,36.24,78.68,,2182654840.0,44996.0,735.0,402.0,0.4,13.93,0.01,0.02,41.65,MKJC,HYDROPOWER,3763198,-0.24,3763198.24,100.0,-0.0,100.0,376319824.0
1509200.0,795.0,71917,,750.6,760.6,789.4,799.4,-,-,-,BY,< 61.8%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,17.57,38.56,72.58,,7950000000.0,32514.0,890.4,391.0,,7.12,-0.0,-0.01,111.67,MMKJL,HYDROPOWER,10000000,8490800.0,1509200.0,100.0,84.91,15.09,150920000.0
733432.0,1013.0,6204,,1014.0,1024.0,1054.5,1064.5,SL,-,-,BY,< 61.8%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,31.68,63.32,133.5,,7581292000.0,11164.0,1180.0,562.0,,19.35,0.03,0.09,52.36,MSHL,HYDROPOWER,7484000,6750568.0,733432.0,100.0,90.2,9.8,73343200.0
18512792.23,279.0,78079,1.43,272.0,282.0,285.0,295.0,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,BEAR,BY,CONF,None,NO,15.57,36.53,79.78,,5165068968.0,132016.0,571.0,250.0,1.7,2.51,0.0,0.0,111.15,NGPL,HYDROPOWER,18512792,-0.23,18512792.23,100.0,-0.0,100.0,1851279223.0
3594413.55,945.0,17077,1.49,865.0,875.0,953.8,963.8,-,-,-,-,> 61.8%,S SL,BY,-,BULL,S BY,S BULL,S BY,CONF,None,Breakout Up,13.11,28.92,56.07,,3396721230.0,85406.0,958.8,408.0,0.78,24.18,0.1,0.12,39.08,NHDL,HYDROPOWER,3594414,0.45,3594413.55,100.0,0.0,100.0,359441355.0
4934325.82,219.0,48282,0.51,208.0,218.0,225.2,235.2,-,-,-,-,< 50%,BY,BY,-,BEAR,S SL,BULL,-,CONF,None,NO,6.95,14.15,31.44,,5403086751.0,126031.0,290.0,136.0,8.9,0.55,-0.01,-0.01,401.09,NHPC,HYDROPOWER,24671629,19737303.18,4934325.82,100.0,80.0,20.0,493432582.0
15000000.0,632.9,54580,1.78,628.0,638.0,695.0,705.0,-,-,-,S BY,< 50%,S SL,S BY,-,BEAR,S SL,S BEAR,S BY,CONF,None,NO,14.73,29.79,59.87,,9493500000.0,110196.0,880.0,260.3,,-1.05,-0.01,-0.07,-603.28,NYADI,HYDROPOWER,15000000,0.0,15000000.0,100.0,0.0,100.0,1500000000.0
5438200.0,668.0,129570,,650.0,660.0,725.7,735.7,-,-,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,13.6,26.68,79.06,,21376000000.0,220375.0,745.6,275.1,,-3.51,-0.01,-0.04,-190.49,PHCL,HYDROPOWER,32000000,26561800.0,5438200.0,100.0,83.01,16.99,543820000.0
11000000.0,315.1,28420,1.48,298.3,308.3,325.8,335.8,-,-,-,BY,< 61.8%,BY,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,8.04,17.02,32.58,,3466100000.0,40082.0,348.8,214.2,,5.16,-0.01,-0.02,61.05,PMHPL,HYDROPOWER,11000000,0.0,11000000.0,100.0,0.0,100.0,1100000000.0
9625000.0,316.0,40800,1.43,300.0,310.0,315.0,325.0,-,-,-,-,< 61.8%,S SL,BY,-,BEAR,S SL,BULL,S BY,CONF,None,NO,9.98,22.01,39.4,,3041500000.0,52657.0,367.2,220.0,2.22,-16.13,-0.03,-0.07,-19.59,PPCL,HYDROPOWER,9625000,0.0,9625000.0,100.0,0.0,100.0,962500000.0
2417792.0,575.7,18789,,555.0,565.0,590.7,600.7,-,-,BY,-,< 61.8%,S SL,BY,-,BEAR,S SL,BEAR,-,CONF,None,NO,13.87,30.67,77.41,,3641878200.0,31851.0,683.4,299.1,,8.07,0.04,0.06,71.36,PPL,HYDROPOWER,6326000,3908208.0,2417792.0,100.0,61.78,38.22,241779200.0
17555888.51,401.0,36352,2.0,385.0,395.0,407.0,417.0,-,-,-,-,< 61.8%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,17.64,43.51,118.3,,7039911489.0,100450.0,477.0,223.2,1.25,7.22,0.04,0.04,55.52,RADHI,HYDROPOWER,17555889,0.49,17555888.51,100.0,0.0,100.0,1755588851.0
737283.0,927.1,41328,,900.0,910.0,985.0,995.0,-,-,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,S BEAR,S BY,CONF,None,NO,19.58,33.82,52.49,,2595880000.0,40441.0,990.0,430.2,,9.64,0.02,0.05,96.17,RAWA,HYDROPOWER,2800000,2062717.0,737283.0,100.0,73.67,26.33,73728300.0
2675400.0,806.0,45821,,819.0,829.0,857.9,867.9,-,S BY,-,-,< 38.2%,S SL,S SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,19.51,49.06,75.39,,5642000000.0,64991.0,1484.0,308.0,,,,,,RFPL,HYDROPOWER,7000000,4324600.0,2675400.0,100.0,61.78,38.22,267540000.0
2295252.0,656.0,29440,,627.0,637.0,703.0,713.0,-,-,SL,-,> 61.8%,BY,S BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,10.54,20.88,47.06,,4019927328.0,60438.0,708.0,275.0,,-0.79,-0.01,-0.03,-829.92,RHGCL,HYDROPOWER,6127938,3832686.0,2295252.0,100.0,62.54,37.46,229525200.0
68421000.0,419.0,63294,1.02,410.0,420.0,454.0,464.0,-,-,-,-,< 50%,BY,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,10.07,20.96,42.4,,28668399000.0,85586.0,527.0,260.3,,-0.88,-0.0,-0.01,-474.91,RHPL,HYDROPOWER,68421000,0.0,68421000.0,100.0,0.0,100.0,6842100000.0
23233518.0,230.0,53322,0.82,221.0,231.0,229.6,239.6,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,BULL,-,CONF,None,NO,13.17,32.22,60.37,,5343709140.0,88358.0,311.0,154.5,18.3,2.14,-0.03,-0.05,107.24,RIDI,HYDROPOWER,23233518,0.0,23233518.0,100.0,0.0,100.0,2323351800.0
5673222.03,776.4,16616,0.5,735.0,745.0,799.0,809.0,BY,-,-,-,< 61.8%,S SL,BY,-,BULL,S BY,S BULL,S BY,CONF,None,Breakout Up,30.14,68.9,90.41,,4404689560.8,57246.0,926.8,484.9,1.36,21.18,0.1,0.11,36.66,RURU,HYDROPOWER,5673222,-0.03,5673222.03,100.0,-0.0,100.0,567322203.0
37800000.0,503.7,85456,1.48,490.0,500.0,505.0,515.0,-,-,-,-,< 23.6%,BY,BY,-,BEAR,SL,BEAR,BY,CONF,None,NO,14.32,31.96,64.78,,19039860000.0,141841.0,725.0,409.5,,37.56,0.04,0.11,13.41,SAHAS,HYDROPOWER,37800000,0.0,37800000.0,100.0,0.0,100.0,3780000000.0
2389500.0,565.3,21654,,562.0,572.0,594.9,604.9,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,10.67,20.15,52.32,,9005229000.0,28602.0,649.5,295.2,,12.88,-0.01,-0.05,43.9,SGHC,HYDROPOWER,15930000,13540500.0,2389500.0,100.0,85.0,15.0,238950000.0
29000000.0,261.1,293060,1.5,240.3,250.3,253.0,263.0,-,-,-,-,< 50%,BY,BY,-,BEAR,S SL,S BULL,BY,CONF,None,NO,11.83,24.28,50.89,,7571900000.0,189391.0,334.4,143.1,,9.85,-0.0,-0.0,26.5,SHEL,HYDROPOWER,29000000,0.0,29000000.0,100.0,0.0,100.0,2900000000.0
33981761.0,493.0,52897,1.68,485.0,495.0,520.0,530.0,SL,-,-,BY,< 38.2%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,16.58,35.53,77.27,,16753008173.0,117131.0,680.0,316.0,2.14,15.84,0.04,0.05,31.12,SHPC,HYDROPOWER,33981761,0.0,33981761.0,100.0,0.0,100.0,3398176100.0
1115500.0,1372.0,8044,,1305.1,1315.1,1445.0,1455.0,-,-,-,-,> 61.8%,BY,S BY,-,BULL,S BY,BULL,S BY,CONF,None,NO,18.66,34.46,96.36,,11662000000.0,9108.0,1475.0,452.0,0.44,23.42,0.04,0.09,58.59,SIKLES,HYDROPOWER,8500000,7384500.0,1115500.0,100.0,86.88,13.12,111550000.0
36500000.0,348.0,63902,1.24,337.1,347.1,366.0,376.0,-,-,-,SL,< 50%,S SL,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,9.0,19.61,38.45,,12702000000.0,28255.0,442.0,256.0,,-7.43,-0.03,-0.1,-46.82,SJCL,HYDROPOWER,36500000,0.0,36500000.0,100.0,0.0,100.0,3650000000.0
490000.0,1065.3,2325,,1016.0,1026.0,1137.0,1147.0,-,-,-,-,< 61.8%,BY,SL,-,BEAR,S SL,S BULL,BY,CONF,None,NO,22.79,37.72,66.74,,5326500000.0,3668.0,1283.0,640.0,,17.08,0.04,0.09,62.38,SMH,HYDROPOWER,5000000,4510000.0,490000.0,100.0,90.2,9.8,49000000.0
2160900.0,1050.0,12388,,1043.0,1053.0,1130.0,1140.0,-,-,-,-,< 50%,BY,S SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,30.8,53.55,88.58,,23152500000.0,24939.0,1657.0,421.5,0.19,11.04,0.01,0.04,95.12,SMHL,HYDROPOWER,22050000,19889100.0,2160900.0,100.0,90.2,9.8,216090000.0
4438215.6,684.1,154218,,576.1,586.1,659.0,669.0,-,-,S SL,-,< 61.8%,BY,BY,-,BULL,S BY,S BULL,S BY,CONF,None,Breakout Up,13.35,29.24,47.47,,8025861200.0,207098.0,800.0,343.6,,6.67,0.01,0.02,102.56,SMJC,HYDROPOWER,11732000,7293784.4,4438215.6,100.0,62.17,37.83,443821560.0
5000000.0,634.0,59100,1.93,610.0,620.0,636.0,646.0,-,-,-,-,< 50%,S SL,S BY,-,BEAR,S SL,S BULL,S BY,CONF,None,NO,19.61,37.45,79.71,,3170000000.0,81763.0,722.0,464.0,,4.54,-0.02,-0.07,139.76,SPC,HYDROPOWER,5000000,0.0,5000000.0,100.0,0.0,100.0,500000000.0
