share_float,latesttransactionprice,volume,beta_yearly,support_zone_lower,support_zone_upper,resistance_zone_lower,resistance_zone_upper,macd_signal,rsi_signal,bb_signal,fib_signal,fib_range,supertrend_signal,ema_signal,sar_signal,market_trend,trade_signal,market_sentiment,ma_signal,trend_confirmation,obv_price_divergence,obv_breakout,daily_volatility_rs,weekly_volatility_rs,monthly_volatility_rs,return_on_equity,market_cap,avg_volume_3_days,week_52_high,week_52_low,divident_yeild,eps_ttm,roa_ttm,roe_ttm,pr_ratio,symbol,sector,total_listed_shares,promoter_shares,public_shares,power_value,promotor_holding_pot,public_holding_pot,paid_up_capital
12098625.0,353.0,58006,1.27,340.0,350.0,364.9,374.9,SL,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,10.09,22.66,45.22,,4270814625.0,124713.0,389.0,220.2,2.98,7.43,0.02,0.02,47.49,SPDL,HYDROPOWER,12098625,0.0,12098625.0,100.0,0.0,100.0,1209862500.0
706639.0,827.0,2277,,815.0,825.0,855.0,865.0,-,BY,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,Breakout Down,15.49,30.96,58.24,,2481000000.0,4568.0,922.0,443.0,,7.46,-0.0,-0.0,110.79,SPHL,HYDROPOWER,3000000,2293361.0,706639.0,100.0,76.45,23.55,70663900.0
568970.0,965.3,5137,,951.6,961.6,996.0,1006.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,BEAR,SL,CONF,None,NO,25.68,48.34,91.12,,1930600000.0,5883.0,1109.6,619.0,,4.63,0.06,0.07,208.37,SPL,HYDROPOWER,2000000,1431030.0,568970.0,100.0,71.55,28.45,56897000.0
14764000.0,234.3,52856,1.73,218.0,228.0,237.0,247.0,-,-,-,SL,< 61.8%,S SL,BY,-,BEAR,S SL,BULL,BY,CONF,None,NO,9.17,21.08,35.9,,3459205200.0,92818.0,281.1,154.0,,-8.34,-0.07,-1.09,-28.1,SSHL,HYDROPOWER,14764000,0.0,14764000.0,100.0,0.0,100.0,1476400000.0
4998750.0,561.0,37993,,549.1,559.1,579.0,589.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,10.57,20.81,52.9,,18695325000.0,70196.0,637.0,348.0,,16.3,0.02,0.09,34.41,TAMOR,HYDROPOWER,33325000,28326250.0,4998750.0,100.0,85.0,15.0,499875000.0
4000000.0,581.2,42235,1.73,582.0,592.0,606.9,616.9,-,-,-,SL,< 61.8%,BY,BY,-,BEAR,S SL,BULL,S BY,CONF,None,NO,16.24,37.92,87.83,,2324800000.0,51140.0,671.6,410.0,,19.88,0.0,0.01,29.23,TPC,HYDROPOWER,4000000,0.0,4000000.0,100.0,0.0,100.0,400000000.0
723975.0,890.0,7672,,882.0,892.0,912.0,922.0,-,-,-,-,< 50%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,32.23,62.42,162.43,,4383250000.0,7438.0,1231.0,460.6,,2.73,-0.04,-0.15,325.72,TSHL,HYDROPOWER,4925000,4201025.0,723975.0,100.0,85.3,14.7,72397500.0
2572594.56,580.3,10810,,575.0,585.0,595.8,605.8,-,-,-,-,< 50%,BY,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,16.32,37.85,66.56,,10382511728.4,33695.0,697.0,431.0,,-0.9,-0.08,-0.31,-647.96,TVCL,HYDROPOWER,17891628,15319033.44,2572594.56,100.0,85.62,14.38,257259456.0
1470000.0,885.1,70476,,850.6,860.6,953.0,963.0,-,-,-,-,> 61.8%,S SL,S BY,-,BEAR,S SL,-,S BY,CONF,None,NO,15.17,30.31,70.46,,4425500000.0,15558.0,969.0,329.1,,22.35,0.1,0.28,39.6,UHEWA,HYDROPOWER,5000000,3530000.0,1470000.0,100.0,70.6,29.4,147000000.0
2251515.0,583.0,24540,,565.1,575.1,604.0,614.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,BULL,S BY,CONF,None,NO,12.78,26.71,45.14,,2972157320.0,47312.0,693.0,300.0,,,,,,ULHC,HYDROPOWER,5098040,2846525.0,2251515.0,100.0,55.84,44.16,225151500.0
12305000.0,402.0,301979,1.23,370.0,380.0,400.9,410.9,-,-,-,-,> 61.8%,BY,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,8.84,18.86,35.39,,4946610000.0,250820.0,419.0,223.1,1.83,5.81,0.02,0.03,69.14,UMHL,HYDROPOWER,12305000,0.0,12305000.0,100.0,0.0,100.0,1230500000.0
4431000.0,714.0,34028,1.99,701.1,711.1,748.7,758.7,-,-,-,-,> 61.8%,S SL,S BY,-,BEAR,S SL,BULL,S BY,CONF,None,NO,19.46,46.39,102.42,,3163734000.0,119381.0,790.0,325.0,0.81,21.11,0.03,0.09,33.82,UMRH,HYDROPOWER,4431000,0.0,4431000.0,100.0,0.0,100.0,443100000.0
7500000.0,342.0,106587,2.13,329.1,339.1,347.9,357.9,-,-,-,-,> 61.8%,BY,S BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,9.37,19.73,41.25,,2565000000.0,101484.0,371.0,212.6,,5.57,0.02,0.02,61.43,UNHPL,HYDROPOWER,7500000,0.0,7500000.0,100.0,0.0,100.0,750000000.0
22799299.25,298.0,96937,0.99,281.0,291.0,298.9,308.9,-,-,-,-,< 61.8%,S SL,BY,-,BEAR,S SL,BULL,S BY,CONF,None,NO,9.06,22.28,38.59,,6794191102.0,126709.0,345.0,183.0,3.02,9.98,0.03,0.04,29.87,UPCL,HYDROPOWER,22799299,-0.25,22799299.25,100.0,-0.0,100.0,2279929925.0
211800000.0,201.2,101456,1.32,192.2,202.2,199.0,209.0,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,13.44,29.11,64.92,,42614160000.0,157871.0,295.0,152.1,,-7.75,-0.04,-0.26,-25.95,UPPER,HYDROPOWER,211800000,0.0,211800000.0,100.0,0.0,100.0,21180000000.0
1918350.0,674.3,20208,,660.3,670.3,744.0,754.0,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,12.58,22.24,67.92,,9103050000.0,22363.0,752.0,333.2,,21.22,0.02,0.05,31.77,USHEC,HYDROPOWER,13500000,11581650.0,1918350.0,100.0,85.79,14.21,191835000.0
637100.0,812.0,2186,,796.2,806.2,838.9,848.9,-,-,-,-,< 61.8%,S SL,BY,-,BEAR,S SL,BULL,BY,CONF,None,NO,21.46,37.37,77.12,,1786400000.0,8077.0,961.0,443.2,,-13.79,-0.05,-0.17,-58.9,USHL,HYDROPOWER,2200000,1562900.0,637100.0,100.0,71.04,28.96,63710000.0
3825000.0,755.0,22232,,725.0,735.0,790.0,800.0,SL,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,16.92,31.46,61.3,,14439375000.0,40854.0,816.0,445.1,,2.75,0.02,0.04,274.41,VLUCL,HYDROPOWER,19125000,15300000.0,3825000.0,100.0,80.0,20.0,382500000.0
2382400.41,917.0,12894,1.54,895.0,905.0,940.0,950.0,-,-,-,-,< 50%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,30.0,60.62,132.47,5.0,6722034571.0,13171.0,1177.0,616.9,1.64,6.45,0.01,0.12,142.27,ALBSL,MICROFINANCE,7330463,4948062.59,2382400.41,100.0,67.5,32.5,238240041.0
223749.78,4850.0,350,,4668.0,4678.0,4995.0,5005.0,-,-,-,-,< 61.8%,BY,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,151.04,316.41,394.18,6.0,3325732300.0,1022.0,6735.0,1839.6,0.31,21.52,0.01,0.04,225.34,ANLB,MICROFINANCE,685718,461968.22,223749.78,100.0,67.37,32.63,22374978.0
975000.0,1190.5,5358,,1163.0,1173.0,1286.0,1296.0,-,-,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,23.98,51.0,101.32,0.0,2976250000.0,12060.0,1306.8,580.0,,3.03,0.03,0.26,392.97,AVYAN,MICROFINANCE,2500000,1525000.0,975000.0,100.0,61.0,39.0,97500000.0
14588143.29,866.4,6591,1.36,851.0,861.0,894.9,904.9,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,35.65,65.94,127.01,12.0,25794219074.4,13129.0,1155.0,800.0,1.73,31.84,0.02,0.15,27.21,CBBL,MICROFINANCE,29771721,15183577.71,14588143.29,100.0,51.0,49.0,1458814329.0
865879.27,1854.0,2746,,1826.0,1836.0,1953.0,1963.0,-,-,-,-,> 61.8%,BY,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,54.44,113.51,232.77,,4939508376.0,17051.0,1958.0,1080.1,1.7,32.4,0.01,0.1,57.22,CYCL,MICROFINANCE,2664244,1798364.73,865879.27,100.0,67.5,32.5,86587927.0
8360365.24,815.0,10511,1.65,799.0,809.0,833.0,843.0,-,-,-,-,< 23.6%,S SL,BY,-,BULL,S BY,BULL,-,CONF,None,NO,43.63,77.53,139.88,6.0,13905505550.0,15723.0,1099.0,670.0,1.29,28.8,0.03,0.2,28.3,DDBL,MICROFINANCE,17061970,8701604.76,8360365.24,100.0,51.0,49.0,836036524.0
427251.0,1860.0,2048,,1835.0,1845.0,1910.0,1920.0,-,-,-,-,< 61.8%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,42.01,104.52,233.27,0.0,2475660000.0,4055.0,2250.0,782.1,0.81,3.13,0.01,0.08,594.78,DLBS,MICROFINANCE,1331000,903749.0,427251.0,100.0,67.9,32.1,42725100.0
6045751.82,808.5,31781,1.21,771.1,781.1,827.9,837.9,-,-,-,-,< 50%,S SL,BY,-,BULL,S BY,BULL,S BY,CONF,None,Breakout Up,27.38,57.67,122.29,10.0,9975490486.5,71732.0,1004.0,565.0,1.86,7.78,0.02,0.09,103.95,FMDBL,MICROFINANCE,12338269,6292517.18,6045751.82,100.0,51.0,49.0,604575182.0
3166691.2,1254.1,811,1.1,1245.0,1255.0,1270.0,1280.0,SL,-,-,S BY,< 23.6%,S SL,BY,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,59.43,140.06,340.94,5.0,13237824361.7,4338.0,1739.0,976.0,2.39,1.48,0.02,0.12,847.14,FOWAD,MICROFINANCE,10555637,7388945.8,3166691.2,100.0,70.0,30.0,316669120.0
2940622.5,905.0,6882,1.1,885.0,895.0,935.0,945.0,-,-,-,-,> 61.8%,BY,S BY,-,BULL,S BY,S BEAR,S BY,CONF,None,NO,20.42,46.03,108.49,12.0,8891625000.0,24688.0,979.5,517.2,,37.63,0.02,0.1,24.05,GBLBS,MICROFINANCE,9825000,6884377.5,2940622.5,100.0,70.07,29.93,294062250.0
1856700.13,1360.0,2131,0.62,1356.0,1366.0,1417.0,1427.0,-,-,-,-,< 50%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,51.75,115.4,256.66,12.0,8417040000.0,9438.0,1815.0,750.0,0.74,38.24,0.02,0.18,35.56,GILB,MICROFINANCE,6189000,4332299.87,1856700.13,100.0,70.0,30.0,185670013.0
373741.76,3111.0,16182,2.84,2984.0,2994.0,3481.0,3491.0,-,-,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,50.79,113.77,199.1,20.0,3604186830.0,15016.0,3486.0,890.0,0.14,26.7,0.02,0.23,116.54,GLBSL,MICROFINANCE,1158530,784788.24,373741.76,100.0,67.74,32.26,37374176.0
490582.02,1867.9,2044,0.06,1850.0,1860.0,1951.0,1961.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,S BEAR,S BY,CONF,None,NO,37.95,81.55,155.57,5.0,2830886505.5,4637.0,2327.0,813.4,1.07,16.3,0.01,0.15,114.61,GMFBS,MICROFINANCE,1515545,1024962.98,490582.02,100.0,67.63,32.37,49058202.0
1567109.18,1081.5,4368,1.32,1050.0,1060.0,1095.0,1105.0,-,-,-,-,< 50%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,32.59,74.18,170.95,3.0,3458833833.0,11559.0,1447.0,545.1,1.07,16.3,0.01,0.06,66.35,HLBSL,MICROFINANCE,3198182,1631072.82,1567109.18,100.0,51.0,49.0,156710918.0
1468573.64,1250.0,6287,0.3,1220.0,1230.0,1275.0,1285.0,-,-,-,-,< 61.8%,BY,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,Breakout Down,29.7,66.49,161.95,4.0,4589292500.0,15074.0,1491.0,585.0,1.68,17.79,0.01,0.12,70.27,ACLBSL,MICROFINANCE,3671434,2202860.36,1468573.64,100.0,60.0,40.0,146857364.0
1616622.66,1024.0,1931,0.95,1012.0,1022.0,1054.0,1064.0,-,-,-,-,< 38.2%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,31.61,65.3,132.24,9.0,5093605376.0,11194.0,1492.0,658.0,1.95,-38.05,-0.01,-0.07,-26.92,ILBS,MICROFINANCE,4974224,3357601.34,1616622.66,100.0,67.5,32.5,161662266.0
4446785.19,1391.5,3427,2.33,1372.0,1382.0,1420.0,1430.0,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,BULL,SL,CONF,None,NO,95.44,253.49,709.95,10.0,18750611390.5,4242.0,1920.0,1205.0,1.06,30.49,0.02,0.18,45.63,JBLB,MICROFINANCE,13475107,9028321.81,4446785.19,100.0,67.0,33.0,444678519.0
765413.55,1695.0,12191,0.47,1663.0,1673.0,1788.0,1798.0,-,-,-,-,> 61.8%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,75.54,166.63,367.12,4.0,2883057705.0,3175.0,1860.4,839.0,0.93,-9.32,-0.0,-0.02,-181.94,JSLBB,MICROFINANCE,1700919,935505.45,765413.55,100.0,55.0,45.0,76541355.0
1320997.53,1205.0,5370,0.3,1185.0,1195.0,1240.0,1250.0,-,-,-,-,> 61.8%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,45.45,87.7,161.68,7.0,4486476485.0,12765.0,1285.0,622.6,1.66,20.68,0.02,0.14,58.27,KMCDB,MICROFINANCE,3723217,2402219.47,1320997.53,100.0,64.52,35.48,132099753.0
1324986.3,1219.0,2346,1.5,1225.0,1235.0,1362.3,1372.3,-,-,-,S BY,< 61.8%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,49.45,110.14,242.02,7.0,5383860999.0,28691.0,1428.0,720.0,1.64,7.97,0.01,0.07,153.03,LLBS,MICROFINANCE,4416621,3091634.7,1324986.3,100.0,70.0,30.0,132498630.0
1885072.2,1325.1,3164,,1322.1,1332.1,1405.0,1415.0,-,-,-,-,< 23.6%,S SL,BY,-,BULL,S BY,BULL,S BY,CONF,None,NO,37.42,63.91,104.62,,8326363907.4,3458.0,1716.0,1150.0,,-25.92,0.01,0.05,-51.12,MATRI,MICROFINANCE,6283574,4398501.8,1885072.2,100.0,70.0,30.0,188507220.0
5359203.84,761.1,5255,2.07,735.0,745.0,759.0,769.0,-,-,-,-,< 50%,S SL,BY,-,BULL,S BY,S BULL,S BY,CONF,None,NO,34.61,77.28,198.5,8.0,10046526849.9,10752.0,980.0,512.0,2.63,12.05,0.02,0.11,63.14,MERO,MICROFINANCE,13200009,7840805.16,5359203.84,100.0,59.4,40.6,535920384.0
784011.01,1754.0,4722,-0.09,1725.0,1735.0,1830.0,1840.0,SL,-,-,-,> 61.8%,S SL,BY,-,BEAR,S SL,BEAR,S BY,CONF,None,NO,46.1,96.45,191.83,12.0,3437889112.0,5410.0,1960.0,747.0,0.9,38.24,0.02,0.21,45.86,MLBBL,MICROFINANCE,1960028,1176016.99,784011.01,100.0,60.0,40.0,78401101.0
393750.0,2195.0,3573,2.31,2180.1,2190.1,2260.0,2270.0,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,S BULL,BY,CONF,None,NO,46.53,104.45,245.75,0.0,2400781250.0,5577.0,2530.0,620.0,,1.8,0.03,0.25,1216.27,MLBS,MICROFINANCE,1093750,700000.0,393750.0,100.0,64.0,36.0,39375000.0
870250.0,2415.0,3107,-0.04,2395.0,2405.0,2495.0,2505.0,-,-,-,-,> 61.8%,BY,BY,-,BULL,S BY,S BULL,S BY,CONF,None,NO,99.59,258.84,599.78,12.0,5254134375.0,5232.0,2648.7,1545.0,2.07,67.37,0.03,0.29,35.84,MLBSL,MICROFINANCE,2175625,1305375.0,870250.0,100.0,60.0,40.0,87025000.0
967135.62,1483.0,7831,2.88,1407.5,1417.5,1495.0,1505.0,-,-,-,-,< 61.8%,BY,SL,-,BEAR,S SL,S BULL,BY,CONF,None,NO,55.86,127.01,285.89,6.0,4780873155.0,9906.0,1851.0,790.0,1.01,5.56,0.01,0.08,266.79,MSLB,MICROFINANCE,3223785,2256649.38,967135.62,100.0,70.0,30.0,96713562.0
1457280.0,980.1,6701,1.41,968.5,978.5,1025.0,1035.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,29.98,59.43,138.06,0.0,4760933760.0,11323.0,1190.0,500.0,1.07,6.86,0.02,0.16,142.83,NADEP,MICROFINANCE,4857600,3400320.0,1457280.0,100.0,70.0,30.0,145728000.0
828750.0,2319.0,1809,,2259.0,2269.0,2405.0,2415.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,S SL,BULL,BY,CONF,None,NO,58.38,145.85,395.3,6.0,5913450000.0,2589.0,2641.0,1492.1,0.65,-106.03,-0.02,-0.1,-21.87,NESDO,MICROFINANCE,2550000,1721250.0,828750.0,100.0,67.5,32.5,82875000.0
5566208.0,706.0,5003,1.18,683.0,693.0,739.0,749.0,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,23.98,63.34,150.61,0.0,12280446400.0,14476.0,907.0,520.3,2.12,0.48,0.01,0.05,1457.17,NICLBSL,MICROFINANCE,17394400,11828192.0,5566208.0,100.0,68.0,32.0,556620800.0
2164347.45,816.0,6712,1.59,792.0,802.0,839.0,849.0,-,-,-,S BY,< 61.8%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,70.0,157.32,369.78,0.0,5887025472.0,14289.0,918.0,480.0,1.29,3.28,0.0,0.03,249.12,NMBMF,MICROFINANCE,7214492,5050144.55,2164347.45,100.0,70.0,30.0,216434745.0
3026859.21,1310.0,3324,1.32,1295.0,1305.0,1384.0,1394.0,-,-,-,-,< 38.2%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,65.77,151.18,318.32,8.0,15268331650.0,6312.0,1727.0,1027.0,1.15,32.34,0.02,0.16,40.51,NMFBS,MICROFINANCE,11655215,8628355.79,3026859.21,100.0,74.03,25.97,302685921.0
6780554.62,688.2,9553,0.03,668.0,678.0,700.0,710.0,-,-,-,-,< 38.2%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,37.9,76.76,136.25,10.0,9619413912.6,13759.0,988.0,504.5,,-8.97,0.02,0.16,-76.7,NMLBBL,MICROFINANCE,13977643,7197088.38,6780554.62,100.0,51.49,48.51,678055462.0
12799190.78,689.8,6062,3.55,680.0,690.0,708.0,718.0,-,-,-,-,< 23.6%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,39.39,75.07,136.98,4.0,18018126460.4,14584.0,930.2,578.3,2.9,10.41,0.02,0.12,66.23,NUBL,MICROFINANCE,26120798,13321607.22,12799190.78,100.0,51.0,49.0,1279919078.0
4627320.22,735.0,5582,0.87,720.0,730.0,748.0,758.0,-,-,-,-,< 50%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,51.77,118.58,253.55,12.0,6940980585.0,20152.0,890.0,503.0,1.23,9.36,0.02,0.1,78.55,RSDC,MICROFINANCE,9443511,4816190.78,4627320.22,100.0,51.0,49.0,462732022.0
98255.0,3488.0,339,,3495.0,3505.0,3745.0,3755.0,-,-,-,-,> 61.8%,S SL,BY,-,BULL,S BY,S BEAR,BY,CONF,None,NO,119.79,162.64,330.85,0.0,797008000.0,1093.0,4181.0,1586.7,0.43,0.11,0.01,0.14,31970.67,SAMAJ,MICROFINANCE,228500,130245.0,98255.0,100.0,57.0,43.0,9825500.0
393750.0,2666.0,1247,,2626.1,2636.1,2744.0,2754.0,-,-,-,-,> 61.8%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,52.64,141.5,260.31,11.0,2915937500.0,2941.0,2907.0,777.0,,34.27,0.08,0.83,77.78,SHLB,MICROFINANCE,1093750,700000.0,393750.0,100.0,64.0,36.0,39375000.0
11419121.38,830.0,8604,-2.19,820.0,830.0,835.0,845.0,-,-,-,-,< 23.6%,S SL,SL,-,BULL,S BY,BEAR,SL,CONF,None,NO,37.12,80.71,165.38,7.0,31592902540.0,15366.0,1105.0,789.0,1.81,24.01,0.02,0.11,34.57,SKBBL,MICROFINANCE,38063738,26644616.62,11419121.38,100.0,70.0,30.0,1141912138.0
3288414.49,1033.0,38146,0.77,982.1,992.1,1154.4,1164.4,-,-,-,-,< 61.8%,BY,BY,-,BULL,S BY,S BULL,S BY,CONF,None,Breakout Up,56.38,109.8,233.34,10.0,6932514650.0,74808.0,1250.0,541.0,0.71,26.23,0.02,0.18,39.39,SLBBL,MICROFINANCE,6711050,3422635.51,3288414.49,100.0,51.0,49.0,328841449.0
518393.17,2260.0,2595,1.03,2236.4,2246.4,2369.0,2379.0,-,-,-,-,< 61.8%,S SL,S BY,-,BEAR,S SL,S BEAR,S BY,CONF,None,NO,44.06,86.85,202.39,0.0,3860193000.0,5837.0,3047.0,721.0,0.66,-12.73,0.0,0.01,-177.59,SLBSL,MICROFINANCE,1708050,1189656.83,518393.17,100.0,69.65,30.35,51839317.0
1692018.9,892.2,1571,-0.07,851.7,861.7,928.1,938.1,SL,-,-,BY,< 38.2%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,42.5,88.59,182.54,6.0,5032064208.6,5384.0,1271.0,558.0,0.64,-5.24,0.0,0.01,-170.4,SMATA,MICROFINANCE,5640063,3948044.1,1692018.9,100.0,70.0,30.0,169201890.0
322856.82,3028.0,9561,1.01,2757.0,2767.0,2955.0,2965.0,-,-,-,-,< 61.8%,BY,BY,-,BULL,S BY,BEAR,BY,CONF,None,NO,58.86,136.74,258.22,10.0,3258700292.0,6448.0,4026.2,932.0,0.45,25.32,0.02,0.19,119.57,SMB,MICROFINANCE,1076189,753332.18,322856.82,100.0,70.0,30.0,32285682.0
469246.74,2046.0,3551,0.53,2046.0,2056.0,2169.0,2179.0,-,-,-,-,> 61.8%,BY,BY,-,BULL,S BY,S BEAR,S BY,CONF,None,NO,55.8,125.69,230.25,1.0,2989969158.0,6110.0,2426.4,830.1,1.03,27.83,0.02,0.19,73.53,SMFBS,MICROFINANCE,1461373,992126.26,469246.74,100.0,67.89,32.11,46924674.0
2265174.35,990.1,7780,,985.0,995.0,1035.0,1045.0,-,-,-,S BY,< 23.6%,S SL,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,21.94,47.89,84.96,,6939199018.4,12760.0,1278.9,826.0,,17.61,0.01,0.14,56.22,SMPDA,MICROFINANCE,7008584,4743409.65,2265174.35,100.0,67.68,32.32,226517435.0
4969873.13,885.0,2739,1.18,873.2,883.2,910.0,920.0,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,42.72,86.49,165.7,4.0,14661125940.0,31409.0,1232.0,670.0,1.47,9.75,0.03,0.17,90.81,SWBBL,MICROFINANCE,16566244,11596370.87,4969873.13,100.0,70.0,30.0,496987313.0
5113964.97,801.0,2680,2.12,786.0,796.0,824.2,834.2,-,-,-,-,< 23.6%,S SL,BY,-,BULL,S BY,-,S BY,CONF,None,NO,50.81,108.02,253.99,2.0,8359767063.0,4764.0,1214.8,645.6,1.76,6.78,0.01,0.08,118.07,SWMF,MICROFINANCE,10436663,5322698.03,5113964.97,100.0,51.0,49.0,511396497.0
382132.8,4703.0,7118,,4482.4,4492.4,5345.0,5355.0,-,-,-,-,< 61.8%,BY,S BY,-,BEAR,S SL,BULL,S BY,CONF,None,NO,120.6,294.55,506.55,3.0,4992140440.0,8960.0,6600.0,1045.0,1.38,31.72,0.02,0.22,148.26,ULBSL,MICROFINANCE,1061480,679347.2,382132.8,100.0,64.0,36.0,38213280.0
713160.0,2642.0,2052,,2636.0,2646.0,2715.0,2725.0,-,-,-,-,< 61.8%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,56.89,135.36,228.98,10.0,3925351500.0,4039.0,3223.0,1190.0,0.76,36.9,0.01,0.09,71.6,UNLB,MICROFINANCE,1485750,772590.0,713160.0,100.0,52.0,48.0,71316000.0
740597.22,1851.0,2617,1.81,1729.6,1739.6,1933.0,1943.0,-,-,-,-,< 61.8%,S SL,S BY,-,BULL,S BY,BULL,S BY,CONF,None,Breakout Up,48.78,123.47,232.47,3.0,4569484107.0,7568.0,2363.3,1026.0,1.62,5.17,0.0,0.05,357.93,USLB,MICROFINANCE,2468657,1728059.78,740597.22,100.0,70.0,30.0,74059722.0
1908048.36,954.0,1842,0.95,936.0,946.0,975.0,985.0,-,-,-,-,< 61.8%,BY,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,31.45,70.18,156.13,4.0,7107685416.0,9375.0,1174.0,564.9,2.21,18.91,0.0,0.03,50.44,VLBS,MICROFINANCE,7450404,5542355.64,1908048.36,100.0,74.39,25.61,190804836.0
237633.9,3440.0,2577,2.12,3363.0,3373.0,4266.0,4276.0,-,-,-,-,> 61.8%,S SL,S BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,52.37,122.95,264.78,0.0,2724868720.0,9908.0,4271.0,758.0,0.29,-31.47,0.01,0.06,-109.31,WNLB,MICROFINANCE,792113,554479.1,237633.9,100.0,70.0,30.0,23763390.0
16659197.9,776.5,38084,0.95,756.0,766.0,790.0,800.0,-,-,-,-,> 61.8%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,24.38,54.3,114.52,,26399728869.5,86878.0,825.0,523.0,1.05,14.72,0.01,0.1,52.73,ALICL,LIFEINSU,33998363,17339165.1,16659197.9,100.0,51.0,49.0,1665919790.0
11812500.0,720.0,96436,,720.0,730.0,769.9,779.9,-,-,-,-,> 61.8%,BY,BY,-,BEAR,S SL,BEAR,BY,CONF,None,Breakout Down,11.08,23.22,55.57,,28350000000.0,402585.0,774.9,418.5,0.73,11.73,0.02,0.06,61.37,CLI,LIFEINSU,39375000,27562500.0,11812500.0,100.0,70.0,30.0,1181250000.0
39299879.64,429.9,64981,,410.6,420.6,430.0,440.0,-,-,-,-,< 23.6%,S SL,SL,-,BEAR,S SL,BEAR,SL,CONF,None,NO,10.55,23.35,40.74,,34479629096.4,90827.0,607.0,364.1,,9.38,0.01,0.06,45.82,HLI,LIFEINSU,80203836,40903956.36,39299879.64,100.0,51.0,49.0,3929987964.0
15000000.0,525.8,114534,,500.3,510.3,525.0,535.0,-,-,-,-,< 50%,BY,BY,-,BULL,S BY,BULL,S BY,CONF,None,NO,11.53,24.52,61.53,,26290000000.0,125843.0,606.0,412.5,5.0,10.71,0.03,0.07,49.07,ILI,LIFEINSU,50000000,35000000.0,15000000.0,100.0,70.0,30.0,1500000000.0
14999999.92,1318.0,138853,0.51,1170.0,1180.0,1346.5,1356.5,-,S SL,SL,-,< 23.6%,S SL,BY,-,BULL,S BY,BEAR,S BY,CONF,None,NO,57.97,106.57,253.71,,65900000000.0,90565.0,2475.0,1070.0,1.6,10.69,0.0,0.04,123.28,LICN,LIFEINSU,50000000,35000000.08,14999999.92,100.0,70.0,30.0,1499999992.0
